-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
triton_poi_fused_add_index_select_mul_rms_norm_split...         0.00%       0.000us         0.00%       0.000us       0.000us       3.439ms         0.03%       3.439ms       2.193us          1568  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.089ms         0.03%       3.089ms       1.970us          1568  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us       2.971ms         0.03%       2.971ms       0.947us          3136  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       2.922ms         0.03%       2.922ms       1.863us          1568  
              nvjet_tst_192x128_64x5_2x1_v_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.595ms         0.03%       2.595ms      72.090us            36  
              nvjet_tst_192x144_64x5_2x1_v_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.572ms         0.03%       2.572ms      71.456us            36  
                     nvjet_tst_192x96_64x5_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.526ms         0.02%       2.526ms      70.160us            36  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.463ms         0.02%       2.463ms       1.571us          1568  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.456ms         0.02%       2.456ms       1.435us          1712  
                                     triton_red_fused_1         0.00%       0.000us         0.00%       0.000us       0.000us       2.304ms         0.02%       2.304ms       1.469us          1568  
                                              aten::sub         0.13%      15.626ms         0.21%      24.195ms      15.430us       2.050ms         0.02%       2.050ms       1.307us          1568  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       2.050ms         0.02%       2.050ms       1.307us          1568  
